T1_Depth,T2_Depth,T3_Depth,T1_Height_U,T2_Height_U,T3_Height_U,T1_Setback_FU,T2_Setback_FU,T3_Setback_FU,T1_Roof_Height,T2_Roof_Height,T3_Roof_Height,SolarRadiation
60,70,50,12,48,12,5,10,5,9,9,12,582.886839
70,60,50,12,36,24,10,10,10,9,12,9,655.262018
60,60,50,36,12,36,10,5,5,12,12,9,721.048065
70,60,60,36,24,12,10,10,10,9,9,9,654.008142
60,60,50,24,12,12,10,10,5,12,9,12,640.579075
70,60,60,24,24,24,10,5,5,9,12,9,783.443919
60,60,60,24,48,36,10,5,5,9,9,9,806.431529
70,70,50,48,36,12,10,5,10,12,12,12,741.755135
60,70,60,24,12,12,10,10,10,9,9,12,560.788838
70,60,50,36,48,24,10,10,10,9,9,9,668.012941
60,70,60,12,36,36,5,10,5,9,9,9,570.194974
70,60,50,12,48,12,5,10,5,9,12,9,664.560122
60,70,50,12,24,12,10,5,5,12,9,9,735.723757
70,70,50,36,48,24,10,5,10,12,12,9,743.555165
60,70,60,36,48,36,10,5,10,12,9,9,748.904731
70,60,60,24,48,12,5,10,10,9,12,9,664.46896
60,70,50,48,48,12,5,5,10,9,12,12,744.141785
70,70,50,12,48,24,5,10,5,12,12,9,574.39573
60,60,50,12,12,36,10,5,10,9,9,12,725.615298
70,60,60,36,24,12,10,10,10,12,12,9,648.8606
60,70,60,48,24,12,5,10,10,9,9,12,571.650229
70,60,60,48,24,24,10,5,10,12,12,9,782.838699
60,60,60,24,12,36,5,5,5,9,9,9,724.894486
70,70,60,48,12,12,10,10,5,9,12,12,551.438372
60,60,60,24,24,12,10,5,10,9,9,12,788.212153
70,60,60,12,12,24,10,5,10,12,12,9,725.50936
60,60,50,12,48,36,5,5,10,9,12,9,804.832095
70,60,60,36,12,12,5,5,10,9,12,9,727.197135
60,70,50,36,24,12,5,5,10,12,12,9,728.147826
70,60,60,48,24,24,5,10,10,12,9,9,651.851157
60,70,60,48,48,36,5,5,10,12,9,12,747.280465
70,70,60,48,12,12,5,10,5,12,12,9,551.575977
60,60,50,48,24,12,5,10,5,12,9,9,653.077983
70,60,60,36,48,24,10,10,10,12,9,12,667.906384
60,60,60,36,36,36,5,10,10,12,9,9,657.018302
70,70,60,12,24,12,5,5,5,12,9,9,735.81246
60,60,50,48,36,12,5,10,5,9,12,12,655.055328
70,70,50,24,12,24,10,5,5,9,12,9,668.835194
60,70,60,24,12,36,10,10,10,9,9,9,556.487619
