T1_Depth,T2_Depth,T3_Depth,T1_Height_U,T2_Height_U,T3_Height_U,T1_Setback_FU,T2_Setback_FU,T3_Setback_FU,T1_Roof_Height,T2_Roof_Height,T3_Roof_Height,SolarRadiation
70,60,50,36,12,24,5,5,5,9,9,12,989.421161
60,70,50,24,36,36,10,5,10,9,9,12,681.165579
70,60,60,12,12,12,5,5,10,12,9,12,827.367199
60,70,50,12,12,12,10,5,10,9,9,12,665.354348
70,70,50,24,48,24,5,10,10,12,9,12,945.399434
60,60,50,48,12,36,10,10,5,12,12,9,682.763708
70,60,60,48,48,12,10,10,5,9,9,12,647.932846
60,70,50,12,36,12,5,5,5,12,12,12,857.747724
70,60,50,24,24,24,10,10,5,9,12,9,646.492695
60,70,60,36,24,36,10,10,10,9,9,12,680.224718
70,70,50,48,12,12,10,10,10,12,12,12,644.165512
60,60,50,36,12,12,10,10,10,9,12,9,681.320834
70,70,50,24,24,24,5,10,5,9,12,9,954.04254
60,70,60,24,12,36,10,10,10,9,12,9,683.362979
70,60,60,36,36,12,5,10,5,12,12,9,981.214898
60,70,60,24,36,12,5,5,10,9,12,12,989.568121
70,70,50,36,36,24,10,5,10,12,9,12,637.177478
60,60,50,24,36,36,10,10,5,9,12,9,681.120039
70,70,50,36,12,12,5,5,5,9,9,12,989.475079
60,60,60,48,24,12,5,10,10,9,12,9,1051.746549
70,70,60,48,48,24,10,5,10,12,12,12,641.74575
60,70,60,48,36,36,5,10,10,12,9,12,1042.478769
70,60,60,48,12,12,5,5,5,12,9,9,1004.801764
60,70,60,24,24,12,10,10,10,12,9,12,673.829249
70,70,50,24,24,24,5,10,5,12,9,12,948.646034
60,70,60,24,24,36,5,5,5,12,9,9,983.036565
70,60,60,12,36,12,5,5,10,9,9,9,830.426865
60,60,60,24,12,12,5,10,10,12,12,9,984.360879
70,60,60,12,12,24,5,10,5,9,12,12,833.601956
60,60,50,36,36,36,5,10,5,12,12,12,1015.773854
70,60,50,36,48,12,5,10,10,12,9,9,980.126137
60,70,60,48,12,12,5,5,5,12,9,12,1045.322054
70,70,50,48,24,24,5,10,10,12,9,12,1003.748682
60,60,50,12,36,36,5,5,10,12,9,12,857.37904
70,70,50,24,12,12,5,5,5,12,12,12,949.513207
60,70,60,12,48,12,5,10,10,9,9,9,865.380425
70,60,50,36,48,24,5,5,10,12,12,9,979.665925
60,60,60,48,12,36,5,10,10,12,12,12,1044.502941
70,60,50,48,48,12,5,5,10,12,12,12,1000.760556
60,60,60,48,48,12,5,5,10,12,12,9,1041.226929
70,70,50,24,36,24,10,10,10,9,9,9,645.473279
60,70,60,36,12,36,10,10,5,9,12,9,681.027189
70,70,50,12,48,12,5,5,5,9,9,12,828.717362
60,60,60,48,36,12,10,5,10,9,9,9,690.765842
70,60,60,36,48,24,10,5,5,9,9,9,642.169523
60,60,60,36,24,36,5,10,10,12,12,12,1017.111841
70,60,50,12,36,12,10,5,10,9,12,12,627.026173
60,70,50,12,36,12,10,10,5,9,9,9,662.951637
70,60,60,36,12,24,5,5,10,12,12,9,983.692757
60,70,60,12,24,36,10,10,5,12,9,12,653.952521
70,60,60,24,12,12,10,5,5,9,12,12,647.186091
60,70,60,36,24,12,5,10,10,9,12,12,1025.655883
70,70,50,24,12,24,5,10,10,9,9,12,955.450594
60,60,50,24,12,36,5,5,10,12,12,9,983.994149
70,60,50,36,24,12,10,10,10,9,9,12,644.130671
60,60,60,24,36,12,10,10,5,9,9,9,681.794916
70,60,50,48,12,24,5,5,5,9,9,12,1010.239301
60,60,50,36,48,36,10,5,10,12,9,12,669.275389
70,70,60,48,36,12,10,10,5,12,12,9,642.747198
60,70,60,12,36,12,10,10,10,12,12,9,652.803689
70,60,60,48,36,24,10,10,10,12,9,12,642.87613
60,70,60,12,48,36,5,5,10,12,12,12,855.415025
70,70,50,24,12,12,5,10,5,12,9,9,949.779638
60,60,60,24,12,12,10,5,10,9,12,9,683.561953
70,60,50,48,24,24,10,5,10,9,12,9,649.420729
60,70,50,12,24,36,5,10,10,12,9,12,859.558455
70,70,60,36,48,12,5,10,5,9,12,12,985.514245
60,60,50,48,36,12,10,10,10,12,9,12,681.872873
70,70,50,12,12,24,5,5,10,12,9,12,827.421118
60,70,60,48,24,36,5,10,10,9,12,9,1051.616733
70,60,50,12,36,12,5,5,5,12,12,9,823.632152
60,70,60,36,48,12,10,10,5,9,9,12,678.935824
70,60,50,24,48,24,10,5,10,12,9,9,637.733451
60,60,60,24,24,36,10,10,10,9,12,12,682.294985
70,70,60,36,12,12,10,10,10,12,9,9,638.847604
60,60,60,12,48,12,5,10,10,9,9,9,865.321726
70,60,50,48,12,24,5,5,5,9,12,9,1010.026559
60,60,50,24,48,36,5,10,10,9,12,12,987.564371
70,70,50,12,12,12,5,5,5,12,9,12,827.421118
60,70,60,48,48,12,5,5,10,9,12,9,1049.20291
70,70,50,48,24,24,5,5,10,12,12,9,1003.416589
60,70,50,48,12,36,10,10,5,12,9,12,682.76734
70,60,50,12,36,12,10,5,5,9,12,9,627.026173
60,60,50,48,12,12,10,10,5,12,12,12,683.13794
70,60,60,36,24,24,10,10,5,9,12,12,644.029452
60,70,60,24,24,36,5,10,10,9,12,9,991.191388
70,60,60,48,36,12,5,10,5,9,9,12,1007.990939
60,60,50,36,24,12,10,5,5,12,9,12,671.787539
70,60,50,24,36,24,10,10,5,9,9,9,645.419053
60,70,60,12,48,36,5,10,10,9,9,9,865.146149
70,70,60,12,24,12,10,5,10,12,9,9,622.070247
60,60,50,24,48,12,10,10,5,9,9,12,680.514205
70,60,60,36,24,24,10,10,5,12,12,12,637.924334
60,60,60,48,36,36,10,5,5,12,9,12,681.186049
70,60,50,24,36,12,5,10,5,9,9,9,952.543274
60,70,50,48,36,12,10,10,10,12,9,9,681.880246
70,60,50,36,12,24,5,5,5,9,9,9,989.421161
60,70,60,12,24,36,10,5,5,12,9,9,654.108028
70,70,50,48,48,12,5,5,5,12,12,9,1000.857865
60,60,50,12,48,12,10,10,5,12,12,12,651.392032
70,70,60,36,36,24,5,10,10,12,9,9,981.596794
60,60,50,36,48,36,10,10,5,12,12,12,669.21509
70,70,60,48,48,12,10,5,5,12,12,12,641.74575
60,60,60,48,12,12,10,10,10,12,9,9,683.359915
70,60,50,12,12,24,5,5,5,9,12,9,833.580836
60,70,50,24,12,36,5,5,5,9,9,9,992.432882
70,70,50,36,36,12,5,5,5,12,12,12,981.157712
60,60,50,24,48,12,5,5,5,12,9,9,979.924892
70,60,50,48,48,24,10,5,10,12,12,12,641.648899
60,60,60,36,36,36,5,5,5,12,9,12,1015.985531
70,60,60,36,48,12,5,10,5,12,9,9,980.126137
60,70,50,36,12,12,10,5,5,9,12,12,681.342385
70,70,60,48,48,24,10,10,5,12,12,12,641.832544
60,60,50,12,24,36,5,5,10,12,9,12,859.310239
70,60,50,24,12,12,5,10,10,12,9,12,949.748234
60,70,60,12,48,12,5,10,5,12,9,9,856.514029
70,60,50,24,12,24,10,5,5,12,12,12,640.845514
60,60,60,12,36,36,5,5,10,9,9,9,866.59239
70,60,60,24,24,12,5,10,10,12,9,9,948.565187
60,70,50,48,36,12,5,10,10,12,9,12,1043.052342
70,60,50,36,48,24,5,5,10,12,9,9,979.911485
60,60,50,24,12,36,10,5,5,12,12,9,673.966573
