in:id,out:OperationalCarbon,img
95,69.97497,
96,80.37189,
97,93.94764,
98,54.99921,
99,58.18563,
100,72.93921,
101,69.40434,
102,54.4065,
103,64.35078,
104,52.73118,
105,74.65869,
106,59.55666,
107,89.63445,
108,76.24431,
109,71.13141,
110,75.57708,
111,52.8057,
112,67.69314,
113,66.12201,
114,68.00433,
115,80.57958,
116,82.0686,
117,78.7566,
118,80.90526,
119,93.17691,
120,74.63592,
121,71.07966,
122,81.43863,
123,42.99459,
124,113.5257,
125,64.31352,
