,id,timestamp,Day,PeopleCount(p),PeoplePerArea(p/m2),LightingPower(W),LightingPowerIntensity(W/m2),EquipmentLoad(W),EquipmentPowerIntensity(W/m2),VentilationRate (m3/s),ACH,CarbonEmissions(lb-co2/h)
43,43.0,2022-10-02 19:00:00,2022-10-02 19:00:00,10,0.03866228494104002,300,1.1598685482312006,87.39999999999999,0.33790837038468974,0.2712,1.0342372881355932,1.9777696849315067
44,44.0,2022-10-02 20:00:00,2022-10-02 20:00:00,11,0.04252851343514402,600,2.319737096462401,88.39999999999999,0.34177459887879375,0.28532,1.0880847457627119,2.0631014178082188
45,45.0,2022-10-02 21:00:00,2022-10-02 21:00:00,11,0.04252851343514402,600,2.319737096462401,88.39999999999999,0.34177459887879375,0.28532,1.0880847457627119,2.0631014178082188
46,46.0,2022-10-02 22:00:00,2022-10-02 22:00:00,15,0.05799342741156003,600,2.319737096462401,92.39999999999999,0.3572395128552097,0.3418,1.3034745762711866,2.09539294520548
47,47.0,2022-10-02 23:00:00,2022-10-02 23:00:00,5,0.01933114247052001,300,1.1598685482312006,82.39999999999999,0.3185772279141697,0.2006,0.765,1.935195267123288
48,48.0,2022-10-03 00:00:00,2022-10-03 00:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
49,49.0,2022-10-03 01:00:00,2022-10-03 01:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
50,50.0,2022-10-03 02:00:00,2022-10-03 02:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
51,51.0,2022-10-03 03:00:00,2022-10-03 03:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
52,52.0,2022-10-03 04:00:00,2022-10-03 04:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
53,53.0,2022-10-03 05:00:00,2022-10-03 05:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
54,54.0,2022-10-03 06:00:00,2022-10-03 06:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
55,55.0,2022-10-03 07:00:00,2022-10-03 07:00:00,5,0.01933114247052001,300,1.1598685482312006,82.39999999999999,0.3185772279141697,0.2006,0.765,1.935195267123288
56,56.0,2022-10-03 08:00:00,2022-10-03 08:00:00,22,0.08505702687028804,600,2.319737096462401,99.39999999999999,0.38430311231393777,0.44064000000000003,1.6804067796610171,2.127704794520548
57,57.0,2022-10-03 09:00:00,2022-10-03 09:00:00,62,0.2397061666344481,900,3.479605644693602,139.39999999999998,0.5389522520780978,1.0054400000000001,3.834305084745763,2.7335621301369866
58,58.0,2022-10-03 10:00:00,2022-10-03 10:00:00,62,0.2397061666344481,900,3.479605644693602,139.39999999999998,0.5389522520780978,1.0054400000000001,3.834305084745763,2.7335621301369866
59,59.0,2022-10-03 11:00:00,2022-10-03 11:00:00,60,0.23197370964624012,900,3.479605644693602,137.39999999999998,0.5312197950898898,0.9772000000000001,3.7266101694915257,2.679871623287671
60,60.0,2022-10-03 12:00:00,2022-10-03 12:00:00,59,0.2281074811521361,900,3.479605644693602,136.39999999999998,0.5273535665957858,0.96308,3.672762711864407,2.6532295890410955
61,61.0,2022-10-03 13:00:00,2022-10-03 13:00:00,32,0.12371931181132806,600,2.319737096462401,109.39999999999999,0.4229653972549778,0.58184,2.218881355932204,2.184667130136986
62,62.0,2022-10-03 14:00:00,2022-10-03 14:00:00,15,0.05799342741156003,600,2.319737096462401,92.39999999999999,0.3572395128552097,0.3418,1.3034745762711866,2.09539294520548
63,63.0,2022-10-03 15:00:00,2022-10-03 15:00:00,15,0.05799342741156003,600,2.319737096462401,92.39999999999999,0.3572395128552097,0.3418,1.3034745762711866,2.09539294520548
64,64.0,2022-10-03 16:00:00,2022-10-03 16:00:00,15,0.05799342741156003,600,2.319737096462401,92.39999999999999,0.3572395128552097,0.3418,1.3034745762711866,2.09539294520548
65,65.0,2022-10-03 17:00:00,2022-10-03 17:00:00,12,0.04639474192924802,600,2.319737096462401,89.39999999999999,0.34564082737289775,0.29944000000000004,1.1419322033898307,2.070518917808219
66,66.0,2022-10-03 18:00:00,2022-10-03 18:00:00,5,0.01933114247052001,300,1.1598685482312006,82.39999999999999,0.3185772279141697,0.2006,0.765,1.935195267123288
