id,timestamp,Day,PeopleCount(p),PeoplePerArea(p/m2),LightingPower(W),LightingPowerIntensity(W/m2),EquipmentLoad(W),EquipmentPowerIntensity(W/m2),VentilationRate(m3/s),ACH,CarbonEmissions(lb-co2/h)
48,10/3/2022 0:00,10/3/2022 0:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
49,10/3/2022 1:00,10/3/2022 1:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
50,10/3/2022 2:00,10/3/2022 2:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
51,10/3/2022 3:00,10/3/2022 3:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
52,10/3/2022 4:00,10/3/2022 4:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
53,10/3/2022 5:00,10/3/2022 5:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
54,10/3/2022 6:00,10/3/2022 6:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
55,10/3/2022 7:00,10/3/2022 7:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
56,10/3/2022 8:00,10/3/2022 8:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
57,10/3/2022 9:00,10/3/2022 9:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
58,10/3/2022 10:00,10/3/2022 10:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
59,10/3/2022 11:00,10/3/2022 11:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
60,10/3/2022 12:00,10/3/2022 12:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
61,10/3/2022 13:00,10/3/2022 13:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
62,10/3/2022 14:00,10/3/2022 14:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
63,10/3/2022 15:00,10/3/2022 15:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
64,10/3/2022 16:00,10/3/2022 16:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
65,10/3/2022 17:00,10/3/2022 17:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
66,10/3/2022 18:00,10/3/2022 18:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
67,10/3/2022 19:00,10/3/2022 19:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
68,10/3/2022 20:00,10/3/2022 20:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
69,10/3/2022 21:00,10/3/2022 21:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
70,10/3/2022 22:00,10/3/2022 22:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
71,10/3/2022 23:00,10/3/2022 23:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
72,10/4/2022 0:00,10/4/2022 0:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
73,10/4/2022 1:00,10/4/2022 1:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
74,10/4/2022 2:00,10/4/2022 2:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
75,10/4/2022 3:00,10/4/2022 3:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
76,10/4/2022 4:00,10/4/2022 4:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
77,10/4/2022 5:00,10/4/2022 5:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
78,10/4/2022 6:00,10/4/2022 6:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
79,10/4/2022 7:00,10/4/2022 7:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
80,10/4/2022 8:00,10/4/2022 8:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
81,10/4/2022 9:00,10/4/2022 9:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
82,10/4/2022 10:00,10/4/2022 10:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
83,10/4/2022 11:00,10/4/2022 11:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
84,10/4/2022 12:00,10/4/2022 12:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
85,10/4/2022 13:00,10/4/2022 13:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
86,10/4/2022 14:00,10/4/2022 14:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
87,10/4/2022 15:00,10/4/2022 15:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
88,10/4/2022 16:00,10/4/2022 16:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
89,10/4/2022 17:00,10/4/2022 17:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
90,10/4/2022 18:00,10/4/2022 18:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
91,10/4/2022 19:00,10/4/2022 19:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
92,10/4/2022 20:00,10/4/2022 20:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
93,10/4/2022 21:00,10/4/2022 21:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
94,10/4/2022 22:00,10/4/2022 22:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
95,10/4/2022 23:00,10/4/2022 23:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
96,10/5/2022 0:00,10/5/2022 0:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
97,10/5/2022 1:00,10/5/2022 1:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
98,10/5/2022 2:00,10/5/2022 2:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
99,10/5/2022 3:00,10/5/2022 3:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
100,10/5/2022 4:00,10/5/2022 4:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
101,10/5/2022 5:00,10/5/2022 5:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
102,10/5/2022 6:00,10/5/2022 6:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
103,10/5/2022 7:00,10/5/2022 7:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
104,10/5/2022 8:00,10/5/2022 8:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
105,10/5/2022 9:00,10/5/2022 9:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
106,10/5/2022 10:00,10/5/2022 10:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
107,10/5/2022 11:00,10/5/2022 11:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
108,10/5/2022 12:00,10/5/2022 12:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
109,10/5/2022 13:00,10/5/2022 13:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
110,10/5/2022 14:00,10/5/2022 14:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
111,10/5/2022 15:00,10/5/2022 15:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
112,10/5/2022 16:00,10/5/2022 16:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
113,10/5/2022 17:00,10/5/2022 17:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
114,10/5/2022 18:00,10/5/2022 18:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
115,10/5/2022 19:00,10/5/2022 19:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
116,10/5/2022 20:00,10/5/2022 20:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
117,10/5/2022 21:00,10/5/2022 21:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
118,10/5/2022 22:00,10/5/2022 22:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
119,10/5/2022 23:00,10/5/2022 23:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
120,10/6/2022 0:00,10/6/2022 0:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
121,10/6/2022 1:00,10/6/2022 1:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
122,10/6/2022 2:00,10/6/2022 2:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
123,10/6/2022 3:00,10/6/2022 3:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
124,10/6/2022 4:00,10/6/2022 4:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
125,10/6/2022 5:00,10/6/2022 5:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
126,10/6/2022 6:00,10/6/2022 6:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
127,10/6/2022 7:00,10/6/2022 7:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
128,10/6/2022 8:00,10/6/2022 8:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
129,10/6/2022 9:00,10/6/2022 9:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
130,10/6/2022 10:00,10/6/2022 10:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
131,10/6/2022 11:00,10/6/2022 11:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
132,10/6/2022 12:00,10/6/2022 12:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
133,10/6/2022 13:00,10/6/2022 13:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
134,10/6/2022 14:00,10/6/2022 14:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
135,10/6/2022 15:00,10/6/2022 15:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
136,10/6/2022 16:00,10/6/2022 16:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
137,10/6/2022 17:00,10/6/2022 17:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
138,10/6/2022 18:00,10/6/2022 18:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
139,10/6/2022 19:00,10/6/2022 19:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
140,10/6/2022 20:00,10/6/2022 20:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
141,10/6/2022 21:00,10/6/2022 21:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
142,10/6/2022 22:00,10/6/2022 22:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
143,10/6/2022 23:00,10/6/2022 23:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
144,10/7/2022 0:00,10/7/2022 0:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
145,10/7/2022 1:00,10/7/2022 1:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
146,10/7/2022 2:00,10/7/2022 2:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
147,10/7/2022 3:00,10/7/2022 3:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
148,10/7/2022 4:00,10/7/2022 4:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
149,10/7/2022 5:00,10/7/2022 5:00,0,0.0000,0,0.0000,77.4000,0.2992,0.1300,0.4958,1.761686733
150,10/7/2022 6:00,10/7/2022 6:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
151,10/7/2022 7:00,10/7/2022 7:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
152,10/7/2022 8:00,10/7/2022 8:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
153,10/7/2022 9:00,10/7/2022 9:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
154,10/7/2022 10:00,10/7/2022 10:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
155,10/7/2022 11:00,10/7/2022 11:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
156,10/7/2022 12:00,10/7/2022 12:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
157,10/7/2022 13:00,10/7/2022 13:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
158,10/7/2022 14:00,10/7/2022 14:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
159,10/7/2022 15:00,10/7/2022 15:00,65,0.2513,700,2.7064,142.4000,0.5506,1.0478,3.9958,2.777863911
